image,condition,label
22900_2017-04-10 11_31_10-x-ROI_119-x-glomerulus-x-51685-x-123048-x-470-x-471.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_12-x-glomerulus-x-36154-x-133829-x-846-x-845.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_120-x-glomerulus-x-65576-x-112278-x-567-x-567.png,Wire loop,-1
22900_2017-04-10 11_31_10-x-ROI_121-x-glomerulus-x-36134-x-45998-x-728-x-729.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_122-x-glomerulus-x-72790-x-106068-x-510-x-510.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_123-x-glomerulus-x-60305-x-34739-x-592-x-592.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_124-x-glomerulus-x-50042-x-121637-x-667-x-667.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_125-x-glomerulus-x-35798-x-136067-x-858-x-859.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_126-x-glomerulus-x-49704-x-42605-x-463-x-462.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_127-x-glomerulus-x-81841-x-24789-x-517-x-517.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_128-x-glomerulus-x-37582-x-47138-x-530-x-530.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_129-x-glomerulus-x-76707-x-26150-x-559-x-560.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_13-x-glomerulus-x-32119-x-51662-x-720-x-720.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_130-x-glomerulus-x-49566-x-124178-x-507-x-507.png,Global disappearing glomerulosclerosis,3
22900_2017-04-10 11_31_10-x-ROI_131-x-glomerulus-x-70043-x-109289-x-728-x-729.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_132-x-glomerulus-x-44266-x-40483-x-545-x-545.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_133-x-glomerulus-x-71465-x-31175-x-532-x-532.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_134-x-glomerulus-x-66134-x-32069-x-743-x-742.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_135-x-glomerulus-x-68200-x-113711-x-478-x-477.png,Global solidified glomerulosclerosis,2
22900_2017-04-10 11_31_10-x-ROI_136-x-glomerulus-x-46421-x-122175-x-670-x-671.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_137-x-glomerulus-x-39329-x-138037-x-636-x-636.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_138-x-glomerulus-x-70782-x-111419-x-502-x-502.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_139-x-glomerulus-x-74001-x-107709-x-597-x-598.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_14-x-glomerulus-x-45711-x-129581-x-765-x-765.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_140-x-glomerulus-x-43732-x-123398-x-670-x-671.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_141-x-glomerulus-x-77378-x-103785-x-525-x-525.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_142-x-glomerulus-x-37476-x-133082-x-619-x-619.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_143-x-glomerulus-x-62526-x-33217-x-510-x-510.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_144-x-glomerulus-x-50452-x-41697-x-504-x-504.png,Global disappearing glomerulosclerosis,3
22900_2017-04-10 11_31_10-x-ROI_145-x-glomerulus-x-47385-x-38554-x-524-x-524.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_146-x-glomerulus-x-71250-x-107065-x-736-x-735.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_147-x-glomerulus-x-47951-x-129252-x-596-x-596.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_148-x-glomerulus-x-43192-x-128722-x-527-x-526.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_149-x-glomerulus-x-43626-x-122591-x-553-x-552.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_15-x-glomerulus-x-38794-x-128985-x-622-x-622.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_150-x-glomerulus-x-41016-x-125996-x-646-x-646.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_151-x-glomerulus-x-45034-x-49383-x-485-x-485.png,Wire loop,-1
22900_2017-04-10 11_31_10-x-ROI_152-x-glomerulus-x-72284-x-108030-x-488-x-488.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_153-x-glomerulus-x-35838-x-46523-x-504-x-504.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_154-x-glomerulus-x-48443-x-45276-x-438-x-438.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_155-x-glomerulus-x-43375-x-123583-x-489-x-489.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_156-x-glomerulus-x-48504-x-46047-x-512-x-512.png,Wire loop,-1
22900_2017-04-10 11_31_10-x-ROI_157-x-glomerulus-x-47536-x-39429-x-672-x-672.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_158-x-glomerulus-x-38155-x-140227-x-616-x-616.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_159-x-glomerulus-x-63064-x-115779-x-596-x-596.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_16-x-glomerulus-x-51122-x-120002-x-668-x-668.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_160-x-glomerulus-x-80714-x-25766-x-517-x-517.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_161-x-glomerulus-x-69022-x-109449-x-594-x-594.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_162-x-glomerulus-x-57101-x-119667-x-886-x-886.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_163-x-glomerulus-x-48887-x-125162-x-454-x-454.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_164-x-glomerulus-x-43305-x-41673-x-548-x-549.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_165-x-glomerulus-x-58772-x-37904-x-724-x-724.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_166-x-glomerulus-x-46139-x-121348-x-523-x-524.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_167-x-glomerulus-x-36748-x-138022-x-888-x-888.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_168-x-glomerulus-x-70548-x-29933-x-523-x-523.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_169-x-glomerulus-x-40759-x-124122-x-795-x-794.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_17-x-glomerulus-x-43181-x-48027-x-808-x-809.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_170-x-glomerulus-x-75472-x-27530-x-532-x-532.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_171-x-glomerulus-x-69474-x-30286-x-718-x-718.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_172-x-glomerulus-x-63042-x-114656-x-634-x-634.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_173-x-glomerulus-x-32348-x-139628-x-639-x-639.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_174-x-glomerulus-x-58472-x-116538-x-472-x-472.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_175-x-glomerulus-x-36108-x-140331-x-777-x-777.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_176-x-glomerulus-x-33312-x-138353-x-631-x-630.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_177-x-glomerulus-x-38213-x-132041-x-435-x-435.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_178-x-glomerulus-x-77053-x-27620-x-660-x-660.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_179-x-glomerulus-x-47383-x-124729-x-717-x-716.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_18-x-glomerulus-x-40077-x-136478-x-869-x-869.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_180-x-glomerulus-x-48225-x-42046-x-749-x-749.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_181-x-glomerulus-x-78392-x-28406-x-453-x-452.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_182-x-glomerulus-x-63654-x-31795-x-596-x-596.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_183-x-glomerulus-x-77170-x-28376-x-456-x-456.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_184-x-glomerulus-x-67447-x-110631-x-543-x-543.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_185-x-glomerulus-x-62104-x-116608-x-594-x-593.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_186-x-glomerulus-x-70811-x-110668-x-466-x-466.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_187-x-glomerulus-x-35553-x-130038-x-452-x-451.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_188-x-glomerulus-x-79256-x-25878-x-453-x-453.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_189-x-glomerulus-x-44674-x-39640-x-637-x-637.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_19-x-glomerulus-x-38651-x-137617-x-769-x-769.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_190-x-glomerulus-x-34086-x-139780-x-856-x-856.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_191-x-glomerulus-x-63460-x-113961-x-478-x-478.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_192-x-glomerulus-x-68575-x-30846-x-442-x-442.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_193-x-glomerulus-x-31597-x-49332-x-574-x-574.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_194-x-glomerulus-x-35760-x-46909-x-541-x-541.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_195-x-glomerulus-x-65711-x-111880-x-481-x-480.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_196-x-glomerulus-x-73268-x-28927-x-717-x-717.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_197-x-glomerulus-x-71858-x-107525-x-567-x-567.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_198-x-glomerulus-x-62742-x-116970-x-503-x-503.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_199-x-glomerulus-x-72185-x-31726-x-413-x-413.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_2-x-glomerulus-x-44245-x-130922-x-736-x-736.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_20-x-glomerulus-x-43987-x-122940-x-741-x-741.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_200-x-glomerulus-x-80141-x-26775-x-402-x-402.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_201-x-glomerulus-x-39206-x-45739-x-613-x-613.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_202-x-glomerulus-x-42930-x-136607-x-672-x-672.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_203-x-glomerulus-x-49716-x-126201-x-580-x-580.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_204-x-glomerulus-x-48092-x-128593-x-446-x-446.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_205-x-glomerulus-x-73473-x-107401-x-549-x-550.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_206-x-glomerulus-x-80137-x-25727-x-415-x-415.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_207-x-glomerulus-x-33763-x-141909-x-625-x-625.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_208-x-glomerulus-x-64238-x-31500-x-680-x-680.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_209-x-glomerulus-x-75022-x-26971-x-659-x-659.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_21-x-glomerulus-x-33242-x-135721-x-653-x-653.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_210-x-glomerulus-x-30981-x-53081-x-450-x-450.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_211-x-glomerulus-x-31607-x-133062-x-563-x-562.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_212-x-glomerulus-x-42573-x-125043-x-491-x-491.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_213-x-glomerulus-x-44274-x-134051-x-609-x-609.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_214-x-glomerulus-x-31514-x-134359-x-499-x-499.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_215-x-glomerulus-x-35531-x-57109-x-518-x-518.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_216-x-glomerulus-x-42528-x-53717-x-716-x-716.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_217-x-glomerulus-x-55131-x-39582-x-494-x-495.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_218-x-glomerulus-x-77465-x-25640-x-645-x-645.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_219-x-glomerulus-x-44172-x-133747-x-433-x-433.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_22-x-glomerulus-x-66522-x-111163-x-741-x-741.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_220-x-glomerulus-x-70023-x-30166-x-426-x-425.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_221-x-glomerulus-x-35782-x-47265-x-559-x-559.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_222-x-glomerulus-x-43591-x-45777-x-545-x-545.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_223-x-glomerulus-x-31696-x-55936-x-672-x-671.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_224-x-glomerulus-x-58982-x-34956-x-1364-x-1364.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_225-x-glomerulus-x-42207-x-44788-x-472-x-471.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_226-x-glomerulus-x-30548-x-56098-x-495-x-494.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_227-x-glomerulus-x-61822-x-112883-x-648-x-648.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_228-x-glomerulus-x-66967-x-110915-x-522-x-534.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_229-x-glomerulus-x-41609-x-127737-x-496-x-584.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_23-x-glomerulus-x-45293-x-41295-x-589-x-589.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_230-x-glomerulus-x-76161-x-105949-x-470-x-506.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_231-x-glomerulus-x-68735-x-31511-x-492-x-446.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_232-x-glomerulus-x-36437-x-54603-x-872-x-924.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_233-x-glomerulus-x-42163-x-41709-x-552-x-516.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_234-x-glomerulus-x-73533-x-30071-x-540-x-536.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_235-x-glomerulus-x-32917-x-58357-x-710-x-614.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_236-x-glomerulus-x-79633-x-25523-x-604-x-498.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_237-x-glomerulus-x-79521-x-24879-x-670-x-530.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_238-x-glomerulus-x-44123-x-50945-x-440-x-482.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_239-x-glomerulus-x-55283-x-118227-x-820-x-744.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_24-x-glomerulus-x-38203-x-54382-x-783-x-783.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_240-x-glomerulus-x-71273-x-30461-x-602-x-572.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_241-x-glomerulus-x-71715-x-29695-x-510-x-642.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_242-x-glomerulus-x-71373-x-29247-x-594-x-564.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_243-x-glomerulus-x-65355-x-32403-x-490-x-460.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_244-x-glomerulus-x-44811-x-131547-x-532-x-516.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_245-x-glomerulus-x-66039-x-112413-x-456-x-460.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_246-x-glomerulus-x-74323-x-107507-x-544-x-516.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_247-x-glomerulus-x-73631-x-108071-x-524-x-586.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_248-x-glomerulus-x-64109-x-113931-x-414-x-374.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_249-x-glomerulus-x-29348-x-57540-x-662-x-661.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_25-x-glomerulus-x-46448-x-123409-x-682-x-682.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_250-x-glomerulus-x-29336-x-58855-x-406-x-406.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_251-x-glomerulus-x-29463-x-55033-x-526-x-526.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_252-x-glomerulus-x-32999-x-56589-x-528-x-528.png,Global solidified glomerulosclerosis,2
22900_2017-04-10 11_31_10-x-ROI_253-x-glomerulus-x-32776-x-54765-x-808-x-809.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_254-x-glomerulus-x-37395-x-57004-x-712-x-713.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_255-x-glomerulus-x-38116-x-56098-x-879-x-878.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_256-x-glomerulus-x-36414-x-46985-x-622-x-621.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_257-x-glomerulus-x-36949-x-46210-x-510-x-511.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_258-x-glomerulus-x-38429-x-47251-x-632-x-632.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_259-x-glomerulus-x-37514-x-49735-x-679-x-679.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_26-x-glomerulus-x-34316-x-50257-x-680-x-680.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_260-x-glomerulus-x-38463-x-51944-x-832-x-832.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_261-x-glomerulus-x-40325-x-50453-x-581-x-581.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_262-x-glomerulus-x-41346-x-40925-x-632-x-632.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_263-x-glomerulus-x-43325-x-41991-x-604-x-604.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_264-x-glomerulus-x-42614-x-41755-x-532-x-532.png,Global disappearing glomerulosclerosis,3
22900_2017-04-10 11_31_10-x-ROI_265-x-glomerulus-x-42220-x-40435-x-549-x-549.png,Wire loop,-1
22900_2017-04-10 11_31_10-x-ROI_266-x-glomerulus-x-42623-x-40971-x-400-x-400.png,Wire loop,-1
22900_2017-04-10 11_31_10-x-ROI_267-x-glomerulus-x-44723-x-40444-x-724-x-723.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_268-x-glomerulus-x-45425-x-46510-x-617-x-617.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_269-x-glomerulus-x-44900-x-48763-x-617-x-617.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_27-x-glomerulus-x-44430-x-48134-x-742-x-741.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_270-x-glomerulus-x-49059-x-43331-x-481-x-481.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_271-x-glomerulus-x-49655-x-43069-x-566-x-566.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_272-x-glomerulus-x-48308-x-42533-x-424-x-424.png,Global disappearing glomerulosclerosis,3
22900_2017-04-10 11_31_10-x-ROI_273-x-glomerulus-x-50264-x-44129-x-548-x-549.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_274-x-glomerulus-x-50455-x-43714-x-647-x-647.png,Periglomerular fibrosis,4
22900_2017-04-10 11_31_10-x-ROI_275-x-glomerulus-x-50501-x-39269-x-673-x-673.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_276-x-glomerulus-x-51027-x-36693-x-643-x-643.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_277-x-glomerulus-x-52061-x-37117-x-791-x-791.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_278-x-glomerulus-x-52410-x-36387-x-585-x-585.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_279-x-glomerulus-x-52627-x-39742-x-794-x-794.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_28-x-glomerulus-x-61640-x-33771-x-790-x-789.png,Normal,0
22900_2017-04-10 11_31_10-x-ROI_280-x-glomerulus-x-52701-x-40585-x-641-x-640.png,Global obsolescent glomerulosclerosis,1
22900_2017-04-10 11_31_10-x-ROI_281-x-glomerulus-x-55983-x-38786-x-704-x-705.png,Periglomerular fibrosis,4
