image,condition,label
22861_2017-04-08 12_12_09-x-ROI_1010-x-glomerulus-x-51994-x-166905-x-612-x-613.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1011-x-glomerulus-x-61015-x-76700-x-561-x-561.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1012-x-glomerulus-x-59976-x-160153-x-445-x-445.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1013-x-glomerulus-x-69219-x-160552-x-518-x-518.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1014-x-glomerulus-x-84102-x-59021-x-522-x-522.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1015-x-glomerulus-x-70379-x-80703-x-429-x-429.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1016-x-glomerulus-x-36965-x-93953-x-461-x-461.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1017-x-glomerulus-x-81863-x-67336-x-588-x-588.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1018-x-glomerulus-x-61026-x-163356-x-664-x-664.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1019-x-glomerulus-x-57043-x-87865-x-606-x-606.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_102-x-glomerulus-x-66407-x-81565-x-669-x-669.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1020-x-glomerulus-x-68492-x-157657-x-502-x-502.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1021-x-glomerulus-x-81301-x-64907-x-693-x-694.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1022-x-glomerulus-x-59511-x-163479-x-481-x-480.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1023-x-glomerulus-x-83086-x-141438-x-504-x-504.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1024-x-glomerulus-x-65320-x-83962-x-561-x-561.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1025-x-glomerulus-x-71791-x-158706-x-436-x-436.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1026-x-glomerulus-x-75208-x-75695-x-387-x-386.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1027-x-glomerulus-x-75295-x-154977-x-598-x-598.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1028-x-glomerulus-x-59054-x-87302-x-539-x-540.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1029-x-glomerulus-x-48758-x-90809-x-510-x-510.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_103-x-glomerulus-x-33466-x-169631-x-651-x-651.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1030-x-glomerulus-x-64153-x-155487-x-422-x-423.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1031-x-glomerulus-x-67116-x-83421-x-421-x-421.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1032-x-glomerulus-x-54814-x-162869-x-566-x-566.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1033-x-glomerulus-x-72475-x-152479-x-540-x-539.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1034-x-glomerulus-x-61783-x-160621-x-451-x-451.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1035-x-glomerulus-x-83676-x-139907-x-419-x-419.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1036-x-glomerulus-x-54799-x-85497-x-473-x-474.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1037-x-glomerulus-x-76739-x-65294-x-583-x-583.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1038-x-glomerulus-x-47710-x-88603-x-537-x-537.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1039-x-glomerulus-x-45942-x-164634-x-552-x-552.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_104-x-glomerulus-x-77658-x-59286-x-673-x-673.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1040-x-glomerulus-x-69727-x-78449-x-443-x-444.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1041-x-glomerulus-x-70351-x-159559-x-455-x-455.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1042-x-glomerulus-x-59477-x-165287-x-603-x-603.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1043-x-glomerulus-x-55726-x-165921-x-652-x-652.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1044-x-glomerulus-x-51870-x-165800-x-538-x-538.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1045-x-glomerulus-x-51656-x-165114-x-944-x-626.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1046-x-glomerulus-x-57238-x-86992-x-584-x-674.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1047-x-glomerulus-x-48656-x-161754-x-654-x-626.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1048-x-glomerulus-x-42608-x-93126-x-616-x-620.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1049-x-glomerulus-x-34494-x-170224-x-564-x-612.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_105-x-glomerulus-x-48226-x-158556-x-693-x-693.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1050-x-glomerulus-x-34530-x-168956-x-580-x-640.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1051-x-glomerulus-x-55788-x-165552-x-568-x-568.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1052-x-glomerulus-x-56334-x-166004-x-624-x-592.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1053-x-glomerulus-x-55510-x-166304-x-642-x-668.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1054-x-glomerulus-x-76556-x-73730-x-460-x-466.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1055-x-glomerulus-x-77382-x-73432-x-564-x-600.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1056-x-glomerulus-x-73092-x-72710-x-530-x-484.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1057-x-glomerulus-x-73748-x-73414-x-558-x-570.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1058-x-glomerulus-x-71218-x-79580-x-734-x-620.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1059-x-glomerulus-x-71230-x-80340-x-676-x-730.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_106-x-glomerulus-x-42341-x-166872-x-667-x-667.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1060-x-glomerulus-x-79614-x-69252-x-652-x-618.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1061-x-glomerulus-x-61804-x-85956-x-546-x-522.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1062-x-glomerulus-x-62160-x-86094-x-484-x-520.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1063-x-glomerulus-x-84062-x-137232-x-600-x-608.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1064-x-glomerulus-x-84932-x-136958-x-596-x-632.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1065-x-glomerulus-x-43468-x-170532-x-510-x-442.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1066-x-glomerulus-x-62670-x-159292-x-488-x-596.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1067-x-glomerulus-x-36322-x-91566-x-656-x-542.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1068-x-glomerulus-x-36674-x-92344-x-516-x-546.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1069-x-glomerulus-x-48174-x-161936-x-486-x-490.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_107-x-glomerulus-x-49272-x-164043-x-653-x-653.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1070-x-glomerulus-x-82294-x-145226-x-458-x-488.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1071-x-glomerulus-x-82712-x-145850-x-534-x-556.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1072-x-glomerulus-x-77770-x-71180-x-498-x-502.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1073-x-glomerulus-x-77838-x-70402-x-602-x-582.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1074-x-glomerulus-x-49628-x-83722-x-444-x-518.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1075-x-glomerulus-x-38146-x-170322-x-702-x-608.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1076-x-glomerulus-x-84092-x-139212-x-658-x-582.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1077-x-glomerulus-x-77852-x-60634-x-558-x-412.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1078-x-glomerulus-x-77826-x-68888-x-844-x-640.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1079-x-glomerulus-x-69730-x-81218-x-380-x-436.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_108-x-glomerulus-x-78187-x-61566-x-680-x-680.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1080-x-glomerulus-x-65936-x-79884-x-452-x-524.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1081-x-glomerulus-x-64018-x-162530-x-694-x-646.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1082-x-glomerulus-x-63928-x-161096-x-476-x-518.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1083-x-glomerulus-x-59786-x-165100-x-572-x-502.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1084-x-glomerulus-x-60372-x-164792-x-538-x-520.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1085-x-glomerulus-x-60712-x-164956-x-528-x-482.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1086-x-glomerulus-x-60518-x-161830-x-658-x-682.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1087-x-glomerulus-x-53294-x-161016-x-662-x-446.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1088-x-glomerulus-x-33990-x-94806-x-600-x-594.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1089-x-glomerulus-x-74200-x-78896-x-518-x-520.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_109-x-glomerulus-x-76839-x-154981-x-764-x-764.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1090-x-glomerulus-x-45604-x-91748-x-592-x-574.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1091-x-glomerulus-x-45638-x-91344-x-640-x-528.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1092-x-glomerulus-x-45280-x-92726-x-488-x-434.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1093-x-glomerulus-x-58256-x-164802-x-644-x-570.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1094-x-glomerulus-x-76416-x-150058-x-478-x-474.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1095-x-glomerulus-x-75964-x-149618-x-544-x-552.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1096-x-glomerulus-x-75944-x-149076-x-696-x-512.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1097-x-glomerulus-x-54622-x-82524-x-676-x-490.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1098-x-glomerulus-x-70902-x-156734-x-500-x-466.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1099-x-glomerulus-x-80678-x-139992-x-472-x-470.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_11-x-glomerulus-x-51285-x-165753-x-693-x-693.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_110-x-glomerulus-x-46643-x-91533-x-653-x-653.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1100-x-glomerulus-x-48946-x-162984-x-552-x-546.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1101-x-glomerulus-x-56190-x-84346-x-576-x-590.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1102-x-glomerulus-x-56238-x-84776-x-470-x-500.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1103-x-glomerulus-x-65314-x-160796-x-588-x-574.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1104-x-glomerulus-x-73134-x-153296-x-484-x-506.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1105-x-glomerulus-x-81910-x-60602-x-654-x-470.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1106-x-glomerulus-x-50222-x-166540-x-490-x-414.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1107-x-glomerulus-x-80900-x-142114-x-618-x-568.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1108-x-glomerulus-x-81084-x-141526-x-624-x-536.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1109-x-glomerulus-x-81892-x-141204-x-670-x-454.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_111-x-glomerulus-x-38304-x-171290-x-691-x-691.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1110-x-glomerulus-x-82372-x-141854-x-588-x-532.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1111-x-glomerulus-x-82802-x-141758-x-650-x-510.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1112-x-glomerulus-x-82706-x-142534-x-490-x-478.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1113-x-glomerulus-x-83250-x-142296-x-638-x-450.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1114-x-glomerulus-x-83514-x-141990-x-658-x-516.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1115-x-glomerulus-x-83622-x-142426-x-614-x-586.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1116-x-glomerulus-x-67646-x-160352-x-572-x-494.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1117-x-glomerulus-x-68558-x-160580-x-544-x-492.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1118-x-glomerulus-x-50420-x-84774-x-542-x-632.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1119-x-glomerulus-x-84492-x-134446-x-582-x-450.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_112-x-glomerulus-x-54885-x-82029-x-777-x-777.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1120-x-glomerulus-x-85126-x-134284-x-514-x-556.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1121-x-glomerulus-x-48538-x-158888-x-558-x-654.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1122-x-glomerulus-x-48176-x-157976-x-610-x-502.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1123-x-glomerulus-x-49530-x-163524-x-674-x-682.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1124-x-glomerulus-x-40408-x-171014-x-448-x-472.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1125-x-glomerulus-x-40750-x-170896-x-598-x-622.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1126-x-glomerulus-x-40196-x-170656-x-512-x-402.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1127-x-glomerulus-x-40808-x-93510-x-470-x-498.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1128-x-glomerulus-x-75652-x-77456-x-478-x-556.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1129-x-glomerulus-x-79074-x-68016-x-414-x-438.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_113-x-glomerulus-x-49202-x-90566-x-536-x-536.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1130-x-glomerulus-x-66176-x-83432-x-576-x-642.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1131-x-glomerulus-x-76998-x-148710-x-764-x-540.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1132-x-glomerulus-x-77388-x-149096-x-816-x-554.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1133-x-glomerulus-x-77352-x-149418-x-508-x-682.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1134-x-glomerulus-x-71196-x-153948-x-488-x-504.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1135-x-glomerulus-x-73440-x-77506-x-388-x-430.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1136-x-glomerulus-x-49866-x-84658-x-576-x-730.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1137-x-glomerulus-x-33204-x-172032-x-560-x-564.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1138-x-glomerulus-x-33706-x-172138-x-506-x-476.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1139-x-glomerulus-x-82974-x-144030-x-650-x-704.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_114-x-glomerulus-x-61237-x-85444-x-655-x-655.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1140-x-glomerulus-x-60662-x-86798-x-424-x-484.png,Global disappearing glomerulosclerosis,3
22861_2017-04-08 12_12_09-x-ROI_1141-x-glomerulus-x-60928-x-83738-x-466-x-584.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1142-x-glomerulus-x-80700-x-57390-x-534-x-482.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1143-x-glomerulus-x-50910-x-82956-x-580-x-648.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1144-x-glomerulus-x-73648-x-71360-x-692-x-656.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1145-x-glomerulus-x-81936-x-136974-x-548-x-602.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1146-x-glomerulus-x-81600-x-137104-x-432-x-500.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1147-x-glomerulus-x-49502-x-161244-x-608-x-536.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1148-x-glomerulus-x-69152-x-160096-x-574-x-628.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1149-x-glomerulus-x-48362-x-160666-x-488-x-410.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_115-x-glomerulus-x-40839-x-168320-x-703-x-703.png,Periglomerular fibrosis,4
22861_2017-04-08 12_12_09-x-ROI_1150-x-glomerulus-x-79606-x-72662-x-456-x-456.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1151-x-glomerulus-x-79662-x-72256-x-518-x-474.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1152-x-glomerulus-x-79636-x-71896-x-510-x-542.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1153-x-glomerulus-x-78838-x-71532-x-718-x-694.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1154-x-glomerulus-x-52180-x-89258-x-538-x-576.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1155-x-glomerulus-x-53286-x-88860-x-500-x-542.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1156-x-glomerulus-x-53604-x-88684-x-482-x-564.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1157-x-glomerulus-x-79696-x-141742-x-572-x-490.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1158-x-glomerulus-x-79714-x-141330-x-776-x-562.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1159-x-glomerulus-x-41882-x-166678-x-648-x-522.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_116-x-glomerulus-x-34766-x-169763-x-610-x-611.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1160-x-glomerulus-x-81696-x-56334-x-506-x-612.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1161-x-glomerulus-x-81148-x-55218-x-626-x-644.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1162-x-glomerulus-x-83264-x-57574-x-700-x-548.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1163-x-glomerulus-x-83876-x-57394-x-492-x-488.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1164-x-glomerulus-x-84284-x-57358-x-388-x-458.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1165-x-glomerulus-x-79450-x-140566-x-502-x-572.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1166-x-glomerulus-x-45962-x-166540-x-616-x-654.png,Global solidified glomerulosclerosis,2
22861_2017-04-08 12_12_09-x-ROI_1167-x-glomerulus-x-77372-x-150560-x-570-x-474.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1168-x-glomerulus-x-78472-x-149182-x-460-x-430.png,Global disappearing glomerulosclerosis,3
22861_2017-04-08 12_12_09-x-ROI_1169-x-glomerulus-x-67392-x-80234-x-584-x-534.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_117-x-glomerulus-x-84477-x-137104-x-675-x-675.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1170-x-glomerulus-x-83440-x-138276-x-756-x-614.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1171-x-glomerulus-x-47500-x-161026-x-574-x-586.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1172-x-glomerulus-x-47870-x-160318-x-628-x-640.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1173-x-glomerulus-x-35358-x-167724-x-528-x-548.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1174-x-glomerulus-x-81166-x-149284-x-486-x-600.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1175-x-glomerulus-x-81648-x-148202-x-552-x-542.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1176-x-glomerulus-x-78116-x-145958-x-728-x-582.png,Normal,0
22861_2017-04-08 12_12_09-x-ROI_1177-x-glomerulus-x-78098-x-146602-x-560-x-564.png,Global obsolescent glomerulosclerosis,1
22861_2017-04-08 12_12_09-x-ROI_1178-x-glomerulus-x-78804-x-145934-x-528-x-498.png,Global obsolescent glomerulosclerosis,1
